Fy17,Fy18,Fy19,Fy20,Fy21,Name,Name (largecap alpha.csv),Sub-Sector,Ticker,Ticker (largecap alpha.csv),5y Cagr,Alpha,Beta,Close Price,Market Cap,No. of Shareholders,PE Ratio,Pledged Promoter Holdings,Promoter Holding Change – 3M,Total Revenue
299.81,401.13,377.36,396.87,423.03,Procter & Gamble Hygiene and Health Care Ltd,Procter & Gamble Hygiene and Health Care Ltd,FMCG - Personal Products,PGHH,PGHH,16.06454837,9.259879348,0.329122942,13780.15,44731.38112,39806,68.62851704,0,0,3613.52
,,,,,Abbott India Ltd,Abbott India Ltd,Pharmaceuticals,ABBOTINDIA,ABBOTINDIA,34.99285499,31.63670029,0.199972532,21010.8,44646.48345,75540,64.64040806,0,0,4390.92
867.39,1019.55,597.86,1705.75,1470.66,ACC Ltd,ACC Ltd,Cement,ACC,ACC,7.314566253,4.829589716,1.025317153,2300.25,43195.76517,116793,30.20302701,0,0,14011.65
,,,,,Punjab National Bank,Punjab National Bank,Public Banks,PNB,PNB,-23.19688611,-30.9950711,1.65327211,39.15,43108.12591,1618144,16.82609775,0,-3.723270001,94990.85
,,,,,Lupin Ltd,Lupin Ltd,Pharmaceuticals,LUPIN,LUPIN,-8.964713343,3.438600839,0.560107279,948.9,43082.95215,302292,35.41462369,0,-0.022987821,15300.58
,,,,,Biocon Ltd,Biocon Ltd,Biotechnology,BIOCON,BIOCON,17.45015996,-1.597072234,0.607078697,361.95,43061.51617,338815,58.15194621,0,-0.030319181,7372.9
935.33,505.26,-2727.48,3544.9,440.01,Container Corporation of India Ltd,Container Corporation of India Ltd,Logistics,CONCOR,CONCOR,10.10912655,-3.602957881,1.093624421,705.75,43000.94861,110606,85.12679378,0,0,6826.52
,,,,,Gujarat Gas Ltd,Gujarat Gas Ltd,Gas Distribution,GUJGASLTD,GUJGASLTD,38.52273975,49.07427126,0.940018536,617.15,42483.99656,109810,33.24984861,0,0,9930.52
,,,,,Aurobindo Pharma Ltd,Aurobindo Pharma Ltd,Pharmaceuticals,AUROPHARMA,AUROPHARMA,-3.565005581,-10.2111591,0.735790744,725.05,42483.47885,243315,7.963402622,10.70758285,-0.102399806,28404.97
-46.05,92.75,117.1,187.2,492.4,Astral Ltd,Astral Ltd,Building Products - Pipes,ASTRAL,ASTRAL,52.25108474,42.54890726,0.816694517,2104.05,42274.61068,124057,104.5366238,0,0,3201.4
